Experiment 3 & 4 (Number of edges)
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+------------+---------+
|  # | Vertices | Edges | Unconnected Vertices | Exhaustive Time Taken | Genetic Time Taken | Genetic Accuracy | Exhaustive | Genetic |
| 67 |       20 |    69 |                    0 |         11.678238630s |       2.189543486s |            False |         14 |      13 |
| 68 |       20 |    69 |                    0 |         11.985933542s |       2.855246782s |            False |         14 |      13 |
| 69 |       20 |    69 |                    0 |         15.027513266s |       1.081752777s |             True |         13 |      13 |
| 70 |       20 |    69 |                    0 |         12.065030575s |       2.785656691s |             True |         14 |      14 |
| 71 |       20 |    72 |                    0 |         15.566241503s |       2.829758883s |             True |         13 |      13 |
| 72 |       20 |    72 |                    0 |         11.958061934s |       2.383240700s |            False |         14 |      13 |
| 73 |       20 |    72 |                    0 |         11.985890865s |       2.659608364s |            False |         14 |      13 |
| 74 |       20 |    72 |                    0 |         14.349816322s |       2.362771988s |             True |         13 |      13 |
| 75 |       20 |    72 |                    0 |         14.331114292s |       2.134744644s |             True |         13 |      13 |
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+------------+---------+
