Experiment 5 & 6 (Number of unconnected vertices)
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+------------+---------+
|  # | Vertices | Edges | Unconnected Vertices | Exhaustive Time Taken | Genetic Time Taken | Genetic Accuracy | Exhaustive | Genetic |
| 67 |       25 |    30 |                   14 |         51.702977657s |       1.464860201s |            False |          9 |       7 |
| 68 |       25 |    30 |                   14 |         15.025492907s |       2.802512169s |             True |          8 |       8 |
| 69 |       25 |    30 |                   14 |         51.587480545s |       2.552224159s |            False |          9 |       7 |
| 70 |       25 |    30 |                   14 |          5.265137196s |       1.718936682s |             True |          7 |       7 |
| 71 |       25 |    30 |                   15 |         14.811486721s |       1.529127359s |            False |          8 |       7 |
| 72 |       25 |    30 |                   15 |         14.966237068s |       2.696564913s |             True |          8 |       8 |
| 73 |       25 |    30 |                   15 |         14.690174103s |       1.530252218s |            False |          8 |       6 |
| 74 |       25 |    30 |                   15 |         14.829888344s |       1.558968306s |            False |          8 |       7 |
| 75 |       25 |    30 |                   15 |         14.955621481s |       2.711801767s |            False |          8 |       7 |
+----+----------+-------+----------------------+-----------------------+--------------------+------------------+------------+---------+
